Device,Test Name,Test Status,Message(s),Test description,Test category
dc1-leaf1,VerifyBGPPeerSession,failure,Peer: 10.99.1.129 VRF: default - Incorrect session state - Expected: Established Actual: Active - Peer: 10.99.1.130 VRF: default - Incorrect session state - Expected: Established Actual: Active - Peer: 10.101.0.0 VRF: default - Incorrect session state - Expected: Established Actual: Idle - Peer: 10.101.0.2 VRF: default - Incorrect session state - Expected: Established Actual: Idle - Peer: 10.101.254.1 VRF: BLUE - Not found - Peer: 10.101.254.1 VRF: default - Incorrect session state - Expected: Established Actual: Active - Peer: 10.101.254.1 VRF: GREEN - Not found,Verifies the session state of BGP peers.,BGP
dc1-leaf1,VerifyRunningConfigDiffs,failure,"--- flash:/startup-config
+++ system:/running-config
@@ -1,4 +1,4 @@
-! device: dc1-leaf1.dc1.clab (cEOSLab, EOS-4.33.10M-49734529.43310M (engineering build))
+! device: dc1-leaf1 (cEOSLab, EOS-4.33.10M-49734529.43310M (engineering build))
 !
 no aaa root
 !
",Verifies there is no difference between the running-config and the startup-config.,Configuration
dc1-leaf1,VerifyLLDPNeighbors,failure,Port: Ethernet49/1 Neighbor: dc1-spine1 Neighbor Port: Ethernet1/1 - Port not found - Port: Ethernet50/1 Neighbor: dc1-spine2 Neighbor Port: Ethernet1/1 - Port not found - Port: Ethernet51/1 Neighbor: dc1-leaf2 Neighbor Port: Ethernet51/1 - Port not found - Port: Ethernet52/1 Neighbor: dc1-leaf2 Neighbor Port: Ethernet52/1 - Port not found,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
dc1-leaf1,VerifyReachability,failure,Destination 10.99.1.2 (dc1-leaf2) from 10.99.1.1 in VRF default - Packet loss detected - Transmitted: 1 Received: 0 - Destination 10.99.1.3 (dc1-leaf3) from 10.99.1.1 in VRF default - Packet loss detected - Transmitted: 1 Received: 0 - Destination 10.99.1.4 (dc1-leaf4) from 10.99.1.1 in VRF default - Packet loss detected - Transmitted: 1 Received: 0 - Destination 10.99.1.129 (dc1-spine1) from 10.99.1.1 in VRF default - Packet loss detected - Transmitted: 1 Received: 0 - Destination 10.99.1.130 (dc1-spine2) from 10.99.1.1 in VRF default - Packet loss detected - Transmitted: 1 Received: 0,Verifies VTEP fabric-wide underlay reachability.,Connectivity
dc1-leaf1,VerifyReachability,failure,Destination 10.101.0.0 (dc1-spine1_Ethernet1/1) from 10.101.0.1 in VRF default - Error when executing ping: 'ping: bind: Cannot assign requested address' - Destination 10.101.0.2 (dc1-spine2_Ethernet1/1) from 10.101.0.3 in VRF default - Error when executing ping: 'ping: bind: Cannot assign requested address',Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
dc1-leaf1,VerifyReachability,failure,"'ping vrf BLUE 10.101.254.1 size 100 repeat 1' failed on dc1-leaf1: VRF 'BLUE' is not active
'ping vrf GREEN 10.101.254.1 size 100 repeat 1' failed on dc1-leaf1: VRF 'GREEN' is not active",Verifies reachability to BGP neighbors.,Connectivity
dc1-leaf1,VerifyInterfaceErrDisabled,failure,Interface: Ethernet49/1 - Error disabled - Causes: mlagissu - Interface: Ethernet1 - Error disabled - Causes: mlagissu - Interface: Ethernet50/1 - Error disabled - Causes: mlagissu,Verifies there are no interfaces in the errdisabled state.,Interfaces
dc1-leaf1,VerifyInterfacesStatus,failure,"Interface: Ethernet49/1 - Not configured - Interface: Ethernet50/1 - Not configured - Interface: Ethernet51/1 - Not configured - Interface: Ethernet52/1 - Not configured - Interface: Port-Channel511 - Status mismatch - Expected: up/up, Actual: down/lowerLayerDown - Interface: Vlan100 - Status mismatch - Expected: up/up, Actual: down/lowerLayerDown - Interface: Vlan200 - Status mismatch - Expected: up/up, Actual: down/lowerLayerDown - Interface: Vlan3500 - Status mismatch - Expected: up/up, Actual: down/lowerLayerDown - Interface: Vlan3501 - Status mismatch - Expected: up/up, Actual: down/lowerLayerDown - Interface: Vlan4093 - Status mismatch - Expected: up/up, Actual: down/lowerLayerDown",Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
dc1-leaf1,VerifyPortChannels,failure,"Interface: Port-Channel511 - Inactive port(s) - Ethernet51/1, Ethernet52/1",Verifies there are no inactive ports in port channels.,Interfaces
dc1-leaf1,VerifyMlagStatus,failure,MLAG negotiation status mismatch - Expected: connected Actual: connecting - Operational state of the MLAG peer link is not correct - Expected: up Actual: lowerLayerDown,Verifies the health status of the MLAG configuration.,MLAG
